Evictions_Group,PredictedProb,LL,UL,Grouping_Var,Grouping
42,0.124700217,0.09536838,0.162534703,No Change,Relationship_Status
47,0.123883108,0.093336437,0.165674073,No Change,Relationship_Status
52,0.117045618,0.088402135,0.154211377,No Change,Relationship_Status
57,0.123315145,0.08656862,0.173725721,No Change,Relationship_Status
62,0.116156752,0.084845274,0.157599003,No Change,Relationship_Status
67,0.124322282,0.082534234,0.183160966,No Change,Relationship_Status
72,0.150610358,0.103211026,0.215418957,No Change,Relationship_Status
87,0.147028572,0.088441042,0.234914671,No Change,Relationship_Status
NA,0.110505537,0.078279011,0.156176989,No Change,Relationship_Status
2,0.210883855,0.120854707,0.340618405,Got Divorced,Relationship_Status
7,0.240233107,0.13600659,0.389638422,Got Divorced,Relationship_Status
12,0.213552658,0.121605756,0.344920601,Got Divorced,Relationship_Status
17,0.234183369,0.129702236,0.385374623,Got Divorced,Relationship_Status
22,0.215247847,0.123548943,0.34638281,Got Divorced,Relationship_Status
27,0.243704117,0.134792027,0.405938998,Got Divorced,Relationship_Status
32,0.161371714,0.090036926,0.27241622,Got Divorced,Relationship_Status
37,0.239830994,0.137649512,0.383107552,Got Divorced,Relationship_Status
42,0.290871306,0.171775387,0.445165977,Got Divorced,Relationship_Status
47,0.258763366,0.153151933,0.402601879,Got Divorced,Relationship_Status
57,0.227621265,0.128541817,0.370593818,Got Divorced,Relationship_Status
NA,0.146690152,0.078208457,0.258252856,Got Divorced,Relationship_Status
2,0.137955516,0.072956756,0.244458717,Got Married,Relationship_Status
7,0.136434678,0.071752215,0.241907968,Got Married,Relationship_Status
12,0.18150104,0.097115509,0.309929498,Got Married,Relationship_Status
17,0.151808418,0.083146667,0.260985691,Got Married,Relationship_Status
22,0.132890963,0.071943586,0.231966401,Got Married,Relationship_Status
27,0.189729138,0.106738763,0.314318525,Got Married,Relationship_Status
32,0.198119928,0.110109401,0.330358942,Got Married,Relationship_Status
37,0.158919077,0.083088575,0.282006389,Got Married,Relationship_Status
42,0.17918371,0.096154675,0.309403237,Got Married,Relationship_Status
47,0.165321089,0.088954704,0.28581009,Got Married,Relationship_Status
52,0.142277514,0.078197036,0.24483364,Got Married,Relationship_Status
NA,0.122843095,0.065209473,0.217122322,Got Married,Relationship_Status
2,0.102946566,0.073713584,0.143518497,No Change,Dependent_Status
7,0.106485821,0.078156961,0.144648942,No Change,Dependent_Status
12,0.107544204,0.079962346,0.144929445,No Change,Dependent_Status
17,0.108880242,0.083452844,0.142181728,No Change,Dependent_Status
22,0.116099218,0.089175365,0.151132807,No Change,Dependent_Status
27,0.118827547,0.091294855,0.155176192,No Change,Dependent_Status
32,0.122176105,0.094294224,0.158138076,No Change,Dependent_Status
37,0.124030152,0.095209783,0.161140142,No Change,Dependent_Status
42,0.122668293,0.094759278,0.158471567,No Change,Dependent_Status
47,0.123563091,0.092966837,0.165722962,No Change,Dependent_Status
52,0.118728537,0.090359682,0.155345944,No Change,Dependent_Status
57,0.132007322,0.090066387,0.190131396,No Change,Dependent_Status
62,0.113931046,0.08382185,0.153648777,No Change,Dependent_Status
67,0.124322282,0.082534234,0.183160966,No Change,Dependent_Status
72,0.147764662,0.1011411,0.211783818,No Change,Dependent_Status
87,0.147028572,0.088441042,0.234914671,No Change,Dependent_Status
NA,0.109156183,0.076810385,0.155544531,No Change,Dependent_Status
2,0.110965815,0.072588659,0.166102905,Empty Nester,Dependent_Status
7,0.132043039,0.086651117,0.196735807,Empty Nester,Dependent_Status
12,0.106459388,0.072667164,0.154649416,Empty Nester,Dependent_Status
17,0.115987059,0.080879446,0.164325591,Empty Nester,Dependent_Status
22,0.115500139,0.079575308,0.165442494,Empty Nester,Dependent_Status
27,0.124068169,0.085812286,0.176391843,Empty Nester,Dependent_Status
32,0.120496522,0.081400161,0.183837969,Empty Nester,Dependent_Status
37,0.126375272,0.087581485,0.179562904,Empty Nester,Dependent_Status
42,0.139505557,0.092612134,0.20359854,Empty Nester,Dependent_Status
47,0.132161048,0.092742082,0.185236519,Empty Nester,Dependent_Status
52,0.103957815,0.070133259,0.151843323,Empty Nester,Dependent_Status
62,0.150071003,0.103635872,0.212491303,Empty Nester,Dependent_Status
72,0.168368042,0.116720209,0.236667037,Empty Nester,Dependent_Status
NA,0.113061614,0.076804288,0.163859336,Empty Nester,Dependent_Status
2,0.128973792,0.088757472,0.183746825,Had Child,Dependent_Status
7,0.141108788,0.096280052,0.203737121,Had Child,Dependent_Status
