Total_Permits_Group,PredictedProb,LL,UL,Grouping_Var,Grouping
444,0.051523947,0.027854879,0.093373521,Lost Disabilty Benifits,Disability_Status
507,0.102706923,0.056442338,0.179672469,Lost Disabilty Benifits,Disability_Status
528,0.096392541,0.053750312,0.166897694,Lost Disabilty Benifits,Disability_Status
535,0.113757043,0.056858142,0.214637465,Lost Disabilty Benifits,Disability_Status
570,0.077769224,0.039218546,0.14836252,Lost Disabilty Benifits,Disability_Status
584,0.122313245,0.063364316,0.223043886,Lost Disabilty Benifits,Disability_Status
591,0.05299982,0.026956498,0.101577616,Lost Disabilty Benifits,Disability_Status
647,0.07810951,0.041438478,0.142411286,Lost Disabilty Benifits,Disability_Status
654,0.068272583,0.031662149,0.141048948,Lost Disabilty Benifits,Disability_Status
661,0.142269265,0.077602206,0.246427624,Lost Disabilty Benifits,Disability_Status
675,0.089801255,0.043384599,0.176705256,Lost Disabilty Benifits,Disability_Status
710,0.143545629,0.070582868,0.270019039,Lost Disabilty Benifits,Disability_Status
773,0.162286458,0.080595132,0.29978161,Lost Disabilty Benifits,Disability_Status
808,0.074113392,0.03881053,0.136953026,Lost Disabilty Benifits,Disability_Status
899,0.06111397,0.030451171,0.118771747,Lost Disabilty Benifits,Disability_Status
3,0.146347732,0.105945951,0.201913897,No,Disability_Status
10,0.136412137,0.098773019,0.18623215,No,Disability_Status
17,0.13577078,0.099784739,0.18280454,No,Disability_Status
24,0.127818889,0.097489984,0.166165625,No,Disability_Status
31,0.130651742,0.100134827,0.170188476,No,Disability_Status
38,0.130479836,0.098715715,0.171313206,No,Disability_Status
45,0.12215966,0.093932679,0.157872189,No,Disability_Status
52,0.127971917,0.09725965,0.167447715,No,Disability_Status
59,0.122441236,0.093403485,0.160532288,No,Disability_Status
66,0.124963953,0.094817517,0.165321772,No,Disability_Status
73,0.124324583,0.095308578,0.162051518,No,Disability_Status
80,0.119180359,0.090872719,0.155705685,No,Disability_Status
87,0.123999223,0.095272077,0.160643291,No,Disability_Status
94,0.12566213,0.095529735,0.164520528,No,Disability_Status
101,0.124119227,0.095381232,0.160886448,No,Disability_Status
108,0.122798947,0.09473276,0.158693467,No,Disability_Status
115,0.125251561,0.096522467,0.162895059,No,Disability_Status
122,0.117499017,0.090525232,0.152108245,No,Disability_Status
129,0.126669448,0.096410613,0.165755502,No,Disability_Status
136,0.112914212,0.086483812,0.146926547,No,Disability_Status
143,0.120658694,0.09262596,0.156873454,No,Disability_Status
150,0.119831842,0.091363759,0.156840704,No,Disability_Status
157,0.115940112,0.088097862,0.151930116,No,Disability_Status
164,0.111525817,0.081549894,0.154547431,No,Disability_Status
171,0.116379045,0.087680243,0.153869419,No,Disability_Status
178,0.103702266,0.076794708,0.139054673,No,Disability_Status
