Des_Age,PredictedProb,LL,UL,Grouping_Var,Grouping
57,0.090202599,0.052809311,0.14998249,Lost Disabilty Benifits,Disability_Status
58,0.104582842,0.060163799,0.175215642,Lost Disabilty Benifits,Disability_Status
59,0.088466198,0.048210361,0.155796686,Lost Disabilty Benifits,Disability_Status
60,0.082809444,0.046611181,0.143439035,Lost Disabilty Benifits,Disability_Status
63,0.076894515,0.045163493,0.127876916,Lost Disabilty Benifits,Disability_Status
64,0.092818219,0.05311156,0.157119227,Lost Disabilty Benifits,Disability_Status
65,0.101552271,0.058201751,0.171277347,Lost Disabilty Benifits,Disability_Status
66,0.064721853,0.03726922,0.110269002,Lost Disabilty Benifits,Disability_Status
67,0.079320983,0.046489337,0.132112433,Lost Disabilty Benifits,Disability_Status
70,0.066459933,0.033583601,0.12728145,Lost Disabilty Benifits,Disability_Status
71,0.095518572,0.054140495,0.163170888,Lost Disabilty Benifits,Disability_Status
73,0.077333371,0.043224162,0.134994055,Lost Disabilty Benifits,Disability_Status
74,0.076483445,0.041615937,0.137256192,Lost Disabilty Benifits,Disability_Status
76,0.067355098,0.037411413,0.118927569,Lost Disabilty Benifits,Disability_Status
78,0.052095213,0.029794765,0.089546312,Lost Disabilty Benifits,Disability_Status
81,0.048273058,0.025599229,0.089191357,Lost Disabilty Benifits,Disability_Status
83,0.057045764,0.032692599,0.097679396,Lost Disabilty Benifits,Disability_Status
85,0.043069456,0.024215738,0.0754669,Lost Disabilty Benifits,Disability_Status
86,0.06433687,0.035884766,0.112710644,Lost Disabilty Benifits,Disability_Status
15,0.099308563,0.058543028,0.163529861,No,Disability_Status
16,0.139876819,0.100687793,0.192523036,No,Disability_Status
17,0.166271661,0.12450637,0.219880846,No,Disability_Status
18,0.166819165,0.128727505,0.214152534,No,Disability_Status
19,0.172866295,0.133464056,0.221987261,No,Disability_Status
20,0.171232152,0.131330064,0.220999695,No,Disability_Status
21,0.171072713,0.131856002,0.219991731,No,Disability_Status
22,0.169581621,0.128869475,0.221018937,No,Disability_Status
23,0.172218419,0.132413164,0.222175605,No,Disability_Status
24,0.166543891,0.127106561,0.21659376,No,Disability_Status
25,0.165872037,0.130532114,0.209468566,No,Disability_Status
26,0.162692127,0.125135614,0.210120069,No,Disability_Status
27,0.159213737,0.123967627,0.203073177,No,Disability_Status
28,0.159984567,0.123911299,0.205328986,No,Disability_Status
29,0.154660041,0.117510201,0.202336089,No,Disability_Status
30,0.152979013,0.115441622,0.203252489,No,Disability_Status
31,0.146754213,0.110827699,0.192995267,No,Disability_Status
32,0.148361681,0.110231556,0.200638259,No,Disability_Status
33,0.145706653,0.110151209,0.191715536,No,Disability_Status
34,0.141079791,0.106782908,0.185231364,No,Disability_Status
35,0.135660389,0.102247079,0.179708537,No,Disability_Status
36,0.130173576,0.098877003,0.17056113,No,Disability_Status
37,0.135934176,0.101726887,0.180537692,No,Disability_Status
38,0.13742817,0.103692416,0.18068992,No,Disability_Status
39,0.132969391,0.098315319,0.178259979,No,Disability_Status
40,0.125629913,0.095087823,0.165264764,No,Disability_Status
41,0.114896275,0.086428761,0.151920307,No,Disability_Status
42,0.123938216,0.093025078,0.164136827,No,Disability_Status
43,0.114083223,0.085612237,0.151631823,No,Disability_Status
44,0.118030099,0.08686314,0.159089108,No,Disability_Status
45,0.119591668,0.088193727,0.163249826,No,Disability_Status
46,0.116372261,0.087415622,0.156380973,No,Disability_Status
47,0.116304002,0.087112446,0.154949708,No,Disability_Status
48,0.108266522,0.082744001,0.141589347,No,Disability_Status
49,0.106887519,0.080067144,0.142798272,No,Disability_Status
50,0.109971975,0.083213759,0.147380877,No,Disability_Status
51,0.108436678,0.079951985,0.149071916,No,Disability_Status
52,0.106159628,0.078679016,0.145194568,No,Disability_Status
53,0.102990551,0.076099882,0.139461332,No,Disability_Status
54,0.10051049,0.073927081,0.138110099,No,Disability_Status
55,0.098457758,0.07268937,0.133088518,No,Disability_Status
56,0.099043186,0.072851009,0.134635229,No,Disability_Status
57,0.093912464,0.068908848,0.12780476,No,Disability_Status
58,0.096923409,0.072553399,0.129523105,No,Disability_Status
59,0.090962943,0.066202574,0.124903233,No,Disability_Status
60,0.089475555,0.066550262,0.120317692,No,Disability_Status
61,0.08142011,0.06061248,0.109466596,No,Disability_Status
62,0.087531901,0.065032726,0.117688999,No,Disability_Status
63,0.084195503,0.061717401,0.11469034,No,Disability_Status
64,0.084573511,0.062523335,0.11430817,No,Disability_Status
65,0.081412906,0.060075041,0.1103616,No,Disability_Status
66,0.081547188,0.059588868,0.112103171,No,Disability_Status
67,0.078252851,0.058213895,0.105015326,No,Disability_Status
68,0.070712504,0.052184867,0.095774442,No,Disability_Status
69,0.073808951,0.054060071,0.101376454,No,Disability_Status
70,0.070171283,0.051797191,0.094830837,No,Disability_Status
71,0.073783723,0.053211807,0.103011638,No,Disability_Status
72,0.068723649,0.050186771,0.094100768,No,Disability_Status
73,0.070167109,0.051352788,0.096057125,No,Disability_Status
74,0.072279602,0.052892663,0.098578327,No,Disability_Status
75,0.066545067,0.048807922,0.090590413,No,Disability_Status
76,0.063435549,0.046878048,0.085651042,No,Disability_Status
77,0.063772747,0.04552026,0.089330328,No,Disability_Status
78,0.059313582,0.043843637,0.079870831,No,Disability_Status
79,0.058581552,0.042831885,0.079822618,No,Disability_Status
80,0.071204933,0.048855683,0.103378136,No,Disability_Status
81,0.05277752,0.036672122,0.076294487,No,Disability_Status
82,0.060031822,0.039329899,0.091331374,No,Disability_Status
83,0.054512633,0.038090328,0.078307351,No,Disability_Status
