Income_Group,PredictedProb,LL,UL,Grouping_Var,Grouping
23961,0.122073368,0.091590669,0.161611127,Male,Gender
26461,0.118784375,0.090779491,0.154521213,Male,Gender
28961,0.116225889,0.088357329,0.152419001,Male,Gender
31461,0.124956522,0.091754538,0.168933024,Male,Gender
33961,0.119879301,0.090386269,0.158603155,Male,Gender
36461,0.117662729,0.088848898,0.155510124,Male,Gender
38961,0.128511811,0.097746866,0.168000308,Male,Gender
41461,0.123308768,0.092145174,0.164411008,Male,Gender
43961,0.117946045,0.086891688,0.159052034,Male,Gender
46461,0.119984305,0.087038673,0.163111716,Male,Gender
48961,0.132562698,0.097129742,0.179002456,Male,Gender
51461,0.128394332,0.09373731,0.174733487,Male,Gender
53961,0.110420574,0.07762894,0.155511604,Male,Gender
56461,0.123873369,0.08987219,0.168737081,Male,Gender
58961,0.101011381,0.075994412,0.133515552,Male,Gender
61461,0.101161309,0.06673374,0.151154886,Male,Gender
63961,0.128520269,0.095290535,0.171941728,Male,Gender
66461,0.140584285,0.09786542,0.199828189,Male,Gender
68961,0.140076027,0.089483726,0.213902387,Male,Gender
73961,0.104144451,0.07495488,0.142944725,Male,Gender
76461,0.15118247,0.103054451,0.216359154,Male,Gender
78961,0.171138293,0.113367479,0.252123627,Male,Gender
86461,0.105284173,0.058276594,0.183372161,Male,Gender
88961,0.141778974,0.100000099,0.197188276,Male,Gender
91461,0.045306872,0.026990616,0.075093546,Male,Gender
93961,0.156621634,0.109373776,0.219255223,Male,Gender
96461,0.094152351,0.063311962,0.138022768,Male,Gender
98961,0.14733315,0.103606525,0.20510017,Male,Gender
101461,0.151089435,0.102434369,0.217261014,Male,Gender
-13539,0.144507911,0.019169789,0.593992796,Trans,Gender
1461,0.155826179,0.021790302,0.604684944,Trans,Gender
6461,0.121312109,0.016196592,0.536559391,Trans,Gender
11461,0.124172411,0.016676575,0.542382198,Trans,Gender
16461,0.103678834,0.013803166,0.488740987,Trans,Gender
21461,0.089110402,0.011521955,0.45086431,Trans,Gender
38961,0.116884244,0.015735186,0.52284688,Trans,Gender
-23539,0.105601437,0.073822633,0.150832802,No,High_School_Grad
-21039,0.117488254,0.082131543,0.168674074,No,High_School_Grad
-18539,0.119957713,0.083135036,0.173557327,No,High_School_Grad
-16039,0.125134791,0.090340449,0.173062489,No,High_School_Grad
-13539,0.1285918,0.091236609,0.184804427,No,High_School_Grad
-11039,0.124780482,0.091535755,0.170031076,No,High_School_Grad
-8539,0.118524844,0.085816696,0.163929172,No,High_School_Grad
-6039,0.127884982,0.093082376,0.175610541,No,High_School_Grad
-3539,0.124262221,0.091174461,0.169961613,No,High_School_Grad
-1039,0.113466153,0.082865634,0.154861774,No,High_School_Grad
1461,0.11250949,0.084903857,0.149251978,No,High_School_Grad
3961,0.111319475,0.082350065,0.149869266,No,High_School_Grad
6461,0.111446384,0.082371093,0.151073045,No,High_School_Grad
8961,0.114482114,0.085343723,0.152837718,No,High_School_Grad
11461,0.107911068,0.08167529,0.143045853,No,High_School_Grad
13961,0.112379996,0.08510579,0.148673926,No,High_School_Grad
16461,0.104986891,0.079449305,0.139376842,No,High_School_Grad
18961,0.11272835,0.084874659,0.149239318,No,High_School_Grad
21461,0.109768726,0.082468835,0.147174172,No,High_School_Grad
23961,0.110493966,0.083966058,0.145051113,No,High_School_Grad
26461,0.105424339,0.081145366,0.136943299,No,High_School_Grad
28961,0.107786481,0.081697351,0.142279158,No,High_School_Grad
31461,0.109477615,0.083430128,0.143725259,No,High_School_Grad
33961,0.112712937,0.086830617,0.14619048,No,High_School_Grad
36461,0.114977761,0.088546102,0.149163769,No,High_School_Grad
38961,0.117678859,0.089114386,0.156475221,No,High_School_Grad
41461,0.116348714,0.088969978,0.151515783,No,High_School_Grad
43961,0.112400863,0.085136429,0.147784155,No,High_School_Grad
46461,0.115525151,0.088666799,0.149680511,No,High_School_Grad
48961,0.104943304,0.079864143,0.137245291,No,High_School_Grad
51461,0.111794036,0.082927606,0.150540018,No,High_School_Grad
53961,0.107138544,0.080547768,0.141985115,No,High_School_Grad
56461,0.106716639,0.081286351,0.139086031,No,High_School_Grad
58961,0.105096383,0.071794039,0.152417459,No,High_School_Grad
61461,0.095620677,0.067237816,0.135168347,No,High_School_Grad
63961,0.115738075,0.085553216,0.155506716,No,High_School_Grad
66461,0.112166953,0.079640496,0.156494073,No,High_School_Grad
68961,0.117125679,0.078432601,0.172087766,No,High_School_Grad
71461,0.130013206,0.092609987,0.17874686,No,High_School_Grad
73961,0.155224386,0.108359233,0.220253234,No,High_School_Grad
76461,0.130727561,0.088927965,0.189477058,No,High_School_Grad
78961,0.178179654,0.123161796,0.253108922,No,High_School_Grad
81461,0.144030171,0.077586907,0.248320651,No,High_School_Grad
86461,0.123193961,0.079249631,0.190870647,No,High_School_Grad
88961,0.132869579,0.090035691,0.192101675,No,High_School_Grad
91461,0.066825236,0.041069054,0.106842334,No,High_School_Grad
93961,0.156621634,0.109373776,0.219255223,No,High_School_Grad
96461,0.094152351,0.063311962,0.138022768,No,High_School_Grad
98961,0.14733315,0.103606525,0.20510017,No,High_School_Grad
101461,0.151089435,0.102434369,0.217261014,No,High_School_Grad
NA,0.099755913,0.056603138,0.169883014,No,High_School_Grad
-23539,0.116564186,0.079921545,0.16953084,Yes,High_School_Grad
-21039,0.146169923,0.100682319,0.208478173,Yes,High_School_Grad
-18539,0.143826538,0.098869024,0.206144498,Yes,High_School_Grad
-16039,0.10510088,0.072187513,0.153095664,Yes,High_School_Grad
-13539,0.116006148,0.078658758,0.171338317,Yes,High_School_Grad
-11039,0.132099183,0.090459881,0.19269088,Yes,High_School_Grad
-8539,0.144258866,0.104876245,0.196450548,Yes,High_School_Grad
