Total_Crimes_Group,PredictedProb,LL,UL,Grouping_Var,Grouping
62,0.10402427,0.077252546,0.139607612,No,Disability_Status
67,0.102421935,0.075990557,0.137674819,No,Disability_Status
72,0.104026383,0.078018607,0.137991114,No,Disability_Status
77,0.111549551,0.083845024,0.147828712,No,Disability_Status
82,0.106090921,0.07719086,0.144907485,No,Disability_Status
87,0.090995088,0.066723543,0.123923778,No,Disability_Status
92,0.094562312,0.069185684,0.128968865,No,Disability_Status
97,0.092685787,0.067396388,0.12688266,No,Disability_Status
102,0.104717686,0.077507464,0.140529713,No,Disability_Status
107,0.105600839,0.078615491,0.140771647,No,Disability_Status
112,0.086316154,0.060913337,0.121494986,No,Disability_Status
117,0.093487202,0.064120409,0.135234346,No,Disability_Status
122,0.094801198,0.067992173,0.130777225,No,Disability_Status
127,0.076120434,0.050883635,0.111925705,No,Disability_Status
132,0.074296372,0.051973347,0.105187532,No,Disability_Status
137,0.091167364,0.063671685,0.128668456,No,Disability_Status
142,0.081294197,0.055785315,0.117001115,No,Disability_Status
147,0.138986454,0.096052609,0.196732579,No,Disability_Status
152,0.089748164,0.061285812,0.128160392,No,Disability_Status
157,0.129940281,0.080442788,0.200267042,No,Disability_Status
162,0.044576133,0.028418105,0.069593568,No,Disability_Status
167,0.047337668,0.029482247,0.076762983,No,Disability_Status
172,0.095310666,0.059577487,0.148704848,No,Disability_Status
177,0.027009342,0.01501218,0.048480268,No,Disability_Status
182,0.085353346,0.055041364,0.130224287,No,Disability_Status
187,0.161799994,0.092650874,0.255812498,No,Disability_Status
192,0.118760453,0.065171629,0.207089422,No,Disability_Status
197,0.118176277,0.078416236,0.17280641,No,Disability_Status
202,0.143068824,0.045042193,0.327908181,No,Disability_Status
207,0.013648416,0.006843637,0.027035151,No,Disability_Status
212,0.085111652,0.051326667,0.13766676,No,Disability_Status
222,0.051733555,0.030593712,0.086673145,No,Disability_Status
227,0.028785623,0.015234058,0.054210945,No,Disability_Status
232,0.086176296,0.050341731,0.142444462,No,Disability_Status
247,0.0836815,0.046752918,0.145049932,No,Disability_Status
252,0.117405855,0.063915103,0.205820205,No,Disability_Status
257,0.009078762,0.003726678,0.022126027,No,Disability_Status
267,0.054438023,0.029339734,0.098066265,No,Disability_Status
287,0.07237375,0.037663068,0.134595347,No,Disability_Status
302,0.035271378,0.018897095,0.064895445,No,Disability_Status
332,0.002924231,0.000751824,0.011302836,No,Disability_Status
337,0.026295148,0.013648284,0.050258529,No,Disability_Status
347,0.302657865,0.114713543,0.592455801,No,Disability_Status
357,0.181360697,0.083774033,0.349287735,No,Disability_Status
397,0.087851291,0.033123685,0.213052391,No,Disability_Status
497,0.071958134,0.026974631,0.176715473,No,Disability_Status
NA,0.012704713,0.004291139,0.037001689,No,Disability_Status
2,0.137584251,0.101540352,0.184869209,Female,Gender
7,0.1318984,0.100564933,0.172146764,Female,Gender
12,0.126269722,0.097635634,0.162655883,Female,Gender
17,0.121178637,0.093079093,0.157168739,Female,Gender
22,0.122118889,0.092612688,0.16062111,Female,Gender
27,0.117393811,0.089481497,0.153466727,Female,Gender
32,0.115212947,0.087177734,0.15192228,Female,Gender
37,0.111757759,0.084538736,0.14779523,Female,Gender
42,0.105912958,0.079804368,0.140468761,Female,Gender
47,0.111222857,0.083293458,0.148687289,Female,Gender
52,0.10719068,0.080801407,0.141832373,Female,Gender
57,0.105493512,0.078201582,0.142346311,Female,Gender
62,0.096918874,0.071673779,0.130917696,Female,Gender
67,0.095611456,0.06939546,0.131624835,Female,Gender
72,0.096788489,0.07151378,0.130940059,Female,Gender
77,0.097860505,0.072929048,0.131292735,Female,Gender
82,0.093797861,0.066883105,0.130885126,Female,Gender
87,0.084414734,0.06084968,0.117562285,Female,Gender
92,0.088543222,0.064938964,0.120669911,Female,Gender
97,0.084816764,0.060300252,0.119043063,Female,Gender
102,0.101166698,0.074729946,0.136109191,Female,Gender
107,0.095120144,0.069641305,0.129204884,Female,Gender
112,0.087963581,0.061135121,0.125553116,Female,Gender
117,0.085163405,0.059989314,0.120430934,Female,Gender
122,0.089772012,0.063260295,0.126810879,Female,Gender
127,0.06674911,0.044630503,0.099795774,Female,Gender
132,0.065756414,0.043478289,0.098603967,Female,Gender
137,0.098786743,0.0687417,0.139898738,Female,Gender
142,0.075452312,0.048790368,0.115923054,Female,Gender
147,0.148032608,0.101918467,0.209271112,Female,Gender
152,0.116028188,0.080586886,0.161994835,Female,Gender
157,0.094880354,0.06508616,0.136113474,Female,Gender
162,0.053267285,0.035260333,0.079984781,Female,Gender
167,0.046719252,0.029781299,0.074597126,Female,Gender
172,0.115492966,0.070795856,0.182570794,Female,Gender
177,0.024910813,0.013643797,0.045451277,Female,Gender
187,0.181937153,0.099782525,0.292988024,Female,Gender
192,0.118760453,0.065171629,0.207089422,Female,Gender
197,0.215487268,0.145781379,0.306561771,Female,Gender
202,0.143068824,0.045042193,0.327908181,Female,Gender
207,0.013648416,0.006843637,0.027035151,Female,Gender
212,0.063415816,0.038625603,0.102097711,Female,Gender
222,0.044571938,0.024843888,0.079091886,Female,Gender
227,0.037740798,0.019585145,0.07162718,Female,Gender
232,0.036492502,0.021423571,0.06149457,Female,Gender
237,0.032325582,0.018141374,0.056956673,Female,Gender
247,0.0836815,0.046752918,0.145049932,Female,Gender
252,0.117405855,0.063915103,0.205820205,Female,Gender
257,0.009078762,0.003726678,0.022126027,Female,Gender
267,0.046889585,0.025222611,0.084796051,Female,Gender
287,0.075355919,0.039140336,0.140220423,Female,Gender
292,0.019187175,0.008682162,0.041824091,Female,Gender
