Income_Change_Group,PredictedProb,LL,UL,Grouping_Var,Grouping
44670,0.1359698,0.094866644,0.191121448,No,Disability_Status
47170,0.13181638,0.091755907,0.185574026,No,Disability_Status
49670,0.123960184,0.080071283,0.187015073,No,Disability_Status
54670,0.131124289,0.086896042,0.193103103,No,Disability_Status
57170,0.203089439,0.104665736,0.357147454,No,Disability_Status
NA,0.099755913,0.056603138,0.169883014,No,Disability_Status
-75330,0.067974105,0.042454636,0.107117315,Female,Gender
-67830,0.090200958,0.061903671,0.12964579,Female,Gender
-62830,0.112246672,0.074697413,0.16534411,Female,Gender
-57830,0.073294073,0.052172696,0.10204555,Female,Gender
-55330,0.124481099,0.069741088,0.21302795,Female,Gender
-52830,0.192205423,0.133502069,0.268248749,Female,Gender
-50330,0.094141091,0.063295771,0.140324974,Female,Gender
-47830,0.130669947,0.095000014,0.176351112,Female,Gender
-45330,0.135528282,0.095368431,0.190167521,Female,Gender
-42830,0.123420497,0.085374726,0.177472803,Female,Gender
-40330,0.152946538,0.097731556,0.232277879,Female,Gender
-37830,0.101057253,0.070658928,0.143404829,Female,Gender
-35330,0.116375546,0.084031536,0.160698214,Female,Gender
-32830,0.121037212,0.08749521,0.166784574,Female,Gender
-30330,0.125866574,0.089464216,0.175580558,Female,Gender
-27830,0.123419861,0.089326215,0.169722305,Female,Gender
-25330,0.112302045,0.081618856,0.154435446,Female,Gender
-22830,0.121359286,0.088635235,0.166047566,Female,Gender
-20330,0.128636081,0.093837491,0.175360908,Female,Gender
-17830,0.134968245,0.09932025,0.18306473,Female,Gender
-15330,0.128266991,0.097703007,0.168110593,Female,Gender
-12830,0.117648487,0.087843468,0.156714822,Female,Gender
-10330,0.10744732,0.080579211,0.143214132,Female,Gender
-7830,0.116443793,0.090199564,0.149959023,Female,Gender
-5330,0.101673679,0.076106984,0.13531195,Female,Gender
-2830,0.103442002,0.078705648,0.135797387,Female,Gender
-330,0.095815971,0.072350877,0.1267726,Female,Gender
2170,0.112080679,0.086240977,0.145362299,Female,Gender
4670,0.114214059,0.086879566,0.149754822,Female,Gender
7170,0.111761885,0.084572715,0.147189542,Female,Gender
9670,0.118353204,0.088845535,0.157217185,Female,Gender
12170,0.115989481,0.087198551,0.153445052,Female,Gender
14670,0.132059316,0.099996112,0.173912817,Female,Gender
17170,0.10803323,0.078675946,0.147942915,Female,Gender
19670,0.120335573,0.089728918,0.160903742,Female,Gender
22170,0.108125958,0.078366082,0.148121747,Female,Gender
24670,0.118140845,0.082294586,0.170259057,Female,Gender
27170,0.090786154,0.063774826,0.127803722,Female,Gender
29670,0.118529756,0.083232685,0.169348415,Female,Gender
32170,0.097100562,0.069000547,0.134980309,Female,Gender
34670,0.117178726,0.076845221,0.179547237,Female,Gender
37170,0.105678984,0.072887044,0.151183135,Female,Gender
42170,0.178511304,0.109442758,0.283147188,Female,Gender
47170,0.100378006,0.073909494,0.134944227,Female,Gender
49670,0.123960184,0.080071283,0.187015073,Female,Gender
57170,0.203089439,0.104665736,0.357147454,Female,Gender
NA,0.099755913,0.056603138,0.169883014,Female,Gender
-75330,0.086208269,0.04613225,0.155426292,Male,Gender
-62830,0.108467174,0.070102943,0.164539488,Male,Gender
-60330,0.120923388,0.067661952,0.206810657,Male,Gender
-52830,0.121910501,0.081030801,0.178750466,Male,Gender
-50330,0.081038927,0.051760397,0.12505627,Male,Gender
-47830,0.064685993,0.042223342,0.097877481,Male,Gender
